Gesture Number,Duration (s),Timestamp,Severity Level
2,0.123774,05-11-2025 20:22,0
3,0.125725,05-11-2025 20:22,0
4,0.136297,05-11-2025 20:22,0
5,0.114064,05-11-2025 20:22,0
6,0.12091,05-11-2025 20:22,0
7,0.131215,05-11-2025 20:22,0
8,0.137343,05-11-2025 20:22,0
9,0.14898,05-11-2025 20:22,0
10,0.127502,05-11-2025 20:22,0
11,0.12364,05-11-2025 20:22,0
12,0.114673,05-11-2025 20:22,0
13,0.124486,05-11-2025 20:22,0
14,0.168192,05-11-2025 20:22,0
1,0.128942,05-11-2025 20:23,1
2,0.116975,05-11-2025 20:23,1
3,0.123096,05-11-2025 20:23,1
4,0.113682,05-11-2025 20:23,1
5,0.115194,05-11-2025 20:23,1
6,0.113862,05-11-2025 20:23,1
7,0.114112,05-11-2025 20:23,1
8,0.085509,05-11-2025 20:23,1
9,0.113426,05-11-2025 20:23,1
10,0.084933,05-11-2025 20:23,1
11,0.11424,05-11-2025 20:23,1
12,0.118522,05-11-2025 20:23,1
13,0.142574,05-11-2025 20:23,1
14,0.086211,05-11-2025 20:23,1
1,0.205269,05-11-2025 20:23,1
2,0.152476,05-11-2025 20:23,1
3,0.142207,05-11-2025 20:23,1
4,0.174497,05-11-2025 20:23,1
5,0.147497,05-11-2025 20:23,1
6,0.14217,05-11-2025 20:23,1
7,0.114751,05-11-2025 20:23,1
8,0.143303,05-11-2025 20:23,1
9,0.171413,05-11-2025 20:23,1
10,0.202971,05-11-2025 20:23,1
11,0.19938,05-11-2025 20:23,1
12,0.168653,05-11-2025 20:23,1
13,0.165211,05-11-2025 20:23,1
14,0.144238,05-11-2025 20:23,1
15,0.171601,05-11-2025 20:23,1
1,0.087463,05-11-2025 20:24,1
2,0.086917,05-11-2025 20:24,1
3,0.086595,05-11-2025 20:24,1
